date,realized_return,equity,prob,prob_signal,signal,target_exposure,exposure,turnover,cost_next_day,prob_thresh,prob_reset_thresh,spread,spread_z,z_entry_dynamic,capital_weight,spread_ret,eurusd,usdinr,eurinr,implied_eurusd,retrained,trained_week,trained_through,n_train_rows,threshold_validation_sharpe,threshold_validation_return,threshold_validation_trades,drawdown,peak_equity,consecutive_losses,cooldown_days_remaining,risk_stop_active,risk_action,risk_reason
2026-07-27,-0.006700660418126992,0.982696014307724,0.9827461441357931,1,1,1.7327461441357932,1.7386557658513389,0.0,0.0,0.55,0.5,4.866875129572179e-06,1.2301630732959006,0.08246661707969526,1.25,-0.0038539316118426643,1.137268304824829,95.9000015258789,109.06449890136719,1.1372731716999587,True,2026-W31,2026-07-24,2499,2.867998972834114,0.32795838673383715,157,-0.01730398569227598,1.0,2,0,False,none,consecutive_losses
2026-07-28,-0.0052019170108461,0.977584111194406,0.9780599474906921,0,0,0.0,0.0,1.7386557658513389,0.0005215967297554017,0.55,0.5,0.00011243042593833685,1.2574211923915166,0.08165199069111943,1.25,-0.0029919188795252774,1.1388224363327026,95.84200286865234,109.15779876708984,1.138934866758641,False,2026-W31,2026-07-24,2499,2.867998972834114,0.32795838673383715,157,-0.022415888805593975,1.0,3,5,False,cooldown,consecutive_losses
2026-07-29,-0.0005215967297554017,0.9770742065189462,0.3428382029136022,0,0,0.0,0.0,0.0,0.0,0.55,0.5,-0.0003145209891133316,0.9624488843200522,0.08165199069111943,1.25,0.0009393813424916034,1.147446870803833,95.63700103759766,109.70829772949219,1.1471323498147197,False,2026-W31,2026-07-24,2499,2.867998972834114,0.32795838673383715,157,-0.022925793481053836,1.0,4,5,False,cooldown,consecutive_losses
2026-07-30,0.0,0.9770742065189462,0.8623056809107462,0,0,0.0,0.0,0.0,0.0,0.55,0.5,-0.0017675949539166513,0.328139553048712,0.08165199069111943,1.25,0.0033673701428840867,1.1467232704162598,95.72859954833984,109.6050033569336,1.1449556754623431,False,2026-W31,2026-07-24,2499,2.867998972834114,0.32795838673383715,157,-0.022925793481053836,1.0,0,4,False,cooldown,consecutive_losses
2026-07-31,-0.0,0.9770742065189462,0.9740916887919108,0,0,0.0,0.0,0.0,0.0,0.55,0.5,0.0002702629639987908,0.96165660456928,0.08246661707969526,1.25,-0.0017678417675002518,1.1527377367019653,95.37999725341797,109.9738998413086,1.1530079996659641,False,2026-W31,2026-07-24,2499,2.867998972834114,0.32795838673383715,157,-0.022925793481053836,1.0,0,3,False,cooldown,consecutive_losses
2026-08-03,-0.0,0.9770742065189462,0.969200611114502,0,0,0.0,0.0,0.0,0.0,0.55,0.45,8.461038800366971e-05,0.8745533131572049,0.08246661707969526,1.25,-0.0008236260230644396,1.151145339012146,95.3270034790039,109.74330139160156,1.1512299494001497,True,2026-W32,2026-07-31,2504,2.850930273433245,0.326290128947863,155,-0.022925793481053836,1.0,0,2,False,cooldown,consecutive_losses
2026-08-04,-0.0,0.9770742065189462,0.9874171415964762,0,0,0.0,0.0,0.0,0.0,0.55,0.45,-0.0007277755861208046,0.5901810865764785,0.08246661707969526,1.25,-0.0007376167765244257,1.150734782218933,95.33159637451172,109.63200378417969,1.1500070066328123,False,2026-W32,2026-07-31,2504,2.850930273433245,0.326290128947863,155,-0.022925793481053836,1.0,0,1,False,cooldown,consecutive_losses
2026-08-05,-0.0,0.9770742065189462,0.9874171415964762,1,1,1.737417141596476,1.737417141596476,1.737417141596476,0.0005212251424789428,0.55,0.45,-8.07266890869851e-05,0.7560068721588842,0.08572871543610841,1.25,-0.0005598267037649536,1.1558021306991577,95.10700225830078,109.91719818115234,1.1557214040100707,False,2026-W32,2026-07-31,2504,2.850930273433245,0.326290128947863,155,-0.022925793481053836,1.0,0,0,False,none,consecutive_losses
2026-08-06,0.0038424816571367964,0.9808285962351566,0.876232902208964,1,1,1.6262329022089639,1.737417141596476,0.0,0.0,0.55,0.45,-0.0004543312991933668,0.4526433344112469,0.08572871543610841,1.25,0.002511605702016973,1.1557353734970093,95.07730102539062,109.84100341796875,1.155281042197816,False,2026-W32,2026-07-31,2504,2.850930273433245,0.326290128947863,155,-0.019171403764843387,1.0,0,0,False,none,consecutive_losses
2026-08-07,-0.0005798809496693368,0.980259832417309,0.9922480583190918,1,1,1.7422480583190918,1.737417141596476,0.0,0.0,0.55,0.45,-6.843657311517148e-05,0.5730212977774751,0.08572871543610841,1.25,-0.0003337603479245614,1.156203031539917,95.197998046875,110.06169891357422,1.1561345949668018,False,2026-W32,2026-07-31,2504,2.850930273433245,0.326290128947863,155,-0.019740167582691037,1.0,1,0,False,none,consecutive_losses
